pc_number,date,hour_range,actual_hours,actual_labor,sales_value,check_count
301290,2025-07-27,02:00-02:59,0.0,0.0,,
301290,2025-07-27,03:00-03:59,0.85,8.72,,
301290,2025-07-27,04:00-04:59,1.4333,16.11,14.26,2.0
301290,2025-07-27,05:00-05:59,3.616,55.11,145.17,15.0
301290,2025-07-27,06:00-06:59,4.9996,79.18,120.18,17.0
301290,2025-07-27,07:00-07:59,4.9996,79.18,301.61,32.0
301290,2025-07-27,08:00-08:59,4.9996,79.18,345.7,35.0
301290,2025-07-27,09:00-09:59,4.9996,79.18,562.31,50.0
301290,2025-07-27,10:00-10:59,4.9996,79.18,470.08,42.0
301290,2025-07-27,11:00-11:59,4.8996,77.98,372.7,35.0
301290,2025-07-27,12:00-12:59,4.4827,63.71,213.9,28.0
301290,2025-07-27,13:00-13:59,4.0994,50.35,168.05,24.0
301290,2025-07-27,14:00-14:59,2.9996,34.26,60.14,9.0
301290,2025-07-27,15:00-15:59,2.9996,34.26,120.89,11.0
301290,2025-07-27,16:00-16:59,2.9996,34.26,88.76,9.0
301290,2025-07-27,17:00-17:59,2.9996,34.26,67.91,8.0
301290,2025-07-27,18:00-18:59,2.9996,34.26,90.6,14.0
301290,2025-07-27,19:00-19:59,2.9996,34.26,47.18,7.0
301290,2025-07-27,20:00-20:59,2.9996,34.26,20.17,2.0
301290,2025-07-27,21:00-21:59,1.7334,19.06,,
301290,2025-07-27,22:00-22:59,1.0,10.26,,
343939,2025-07-27,01:00-01:59,0.3832,3.45,,
343939,2025-07-27,02:00-02:59,1.0835,10.0,,
343939,2025-07-27,03:00-03:59,2.0024,21.02,,
343939,2025-07-27,04:00-04:59,1.3341,13.01,,
343939,2025-07-27,05:00-05:59,1.0,9.0,99.46,11.0
343939,2025-07-27,06:00-06:59,1.8836,19.6,161.97,22.0
343939,2025-07-27,07:00-07:59,2.9834,35.68,334.94,34.0
343939,2025-07-27,08:00-08:59,4.9668,59.57,445.96,48.0
343939,2025-07-27,09:00-09:59,5.0,60.0,738.21,68.0
343939,2025-07-27,10:00-10:59,5.0,60.0,622.18,64.0
343939,2025-07-27,11:00-11:59,5.0,60.0,645.3,57.0
343939,2025-07-27,12:00-12:59,5.0,60.0,311.28,31.0
343939,2025-07-27,13:00-13:59,4.2503,52.77,206.99,32.0
343939,2025-07-27,14:00-14:59,4.0869,49.82,200.28,23.0
343939,2025-07-27,15:00-15:59,4.0004,49.0,106.01,17.0
343939,2025-07-27,16:00-16:59,4.0004,49.0,71.85,11.0
343939,2025-07-27,17:00-17:59,4.0004,49.0,32.81,6.0
343939,2025-07-27,18:00-18:59,4.0204,49.0,26.71,7.0
343939,2025-07-27,19:00-19:59,4.0004,49.0,46.52,6.0
343939,2025-07-27,20:00-20:59,4.0004,49.0,9.28,2.0
343939,2025-07-27,21:00-21:59,2.1168,23.7,,
343939,2025-07-27,22:00-22:59,2.0004,22.0,,
343939,2025-07-27,23:00-23:59,0.0,0.0,,
357993,2025-07-27,02:00-02:59,0.6833,3.5,,
357993,2025-07-27,03:00-03:59,3.0,15.0,,
357993,2025-07-27,04:00-04:59,3.9836,29.75,44.39,7.0
357993,2025-07-27,05:00-05:59,4.2672,32.94,100.44,11.0
357993,2025-07-27,06:00-06:59,5.2839,46.67,245.85,32.0
357993,2025-07-27,07:00-07:59,7.5515,80.4,359.34,37.0
357993,2025-07-27,08:00-08:59,8.6684,92.76,617.92,66.0
357993,2025-07-27,09:00-09:59,11.0024,118.04,1157.02,103.0
357993,2025-07-27,10:00-10:59,10.0692,104.04,974.83,90.0
357993,2025-07-27,11:00-11:59,10.0024,103.04,707.89,76.0
357993,2025-07-27,12:00-12:59,7.8841,69.29,594.03,55.0
357993,2025-07-27,13:00-13:59,7.0177,56.43,379.26,43.0
357993,2025-07-27,14:00-14:59,6.1345,47.35,386.91,43.0
357993,2025-07-27,15:00-15:59,5.0841,35.0,149.58,27.0
